sucursal,mes,n_creditos,monto_colocado,cosecha_pct,metaliado
Cancún,2026-06,32,3465769.17,94.8,Jessy
Cancún,2026-07,13,1284100.58,100.0,Jessy
Cozumel,2026-02,17,1547970.89,93.0,Jessy
Cozumel,2026-03,19,1392582.3,90.6,Jessy
Cozumel,2026-04,22,2011101.99,82.5,Jessy
Cozumel,2026-05,16,1288768.95,85.7,Jessy
Cozumel,2026-06,18,1442390.49,97.9,Jessy
Cozumel,2026-07,6,535690.3,100.0,Jessy
Playa del Carmen,2026-02,17,1295791.46,87.8,Jessy
Playa del Carmen,2026-03,19,1710203.37,93.7,Jessy
Playa del Carmen,2026-04,17,1419681.38,84.3,Jessy
Playa del Carmen,2026-05,13,1112814.18,82.4,Jessy
Playa del Carmen,2026-06,13,1107379.95,85.6,Jessy
Playa del Carmen,2026-07,8,663539.52,100.0,Jessy
Valladolid,2026-02,23,1726380.99,95.7,Jessy
Valladolid,2026-03,20,1428383.88,87.2,Jessy
Valladolid,2026-04,15,901245.33,66.6,Jessy
Valladolid,2026-05,22,1440551.66,69.5,Jessy
Valladolid,2026-06,17,1140264.53,100.0,Jessy
Valladolid,2026-07,6,429046.08,100.0,Jessy
TOTAL,2026-02,92,7666147.06,90.2,Jessy
TOTAL,2026-03,93,7512065.4,86.3,Jessy
TOTAL,2026-04,86,6967589.86,80.7,Jessy
TOTAL,2026-05,86,7037587.99,81.8,Jessy
TOTAL,2026-06,80,7155804.14,94.8,Jessy
TOTAL,2026-07,33,2912376.48,100.0,Jessy
Fresnillo,2026-02,26,2056929.21,83.3,Yessica
Fresnillo,2026-03,18,2105961.72,89.7,Yessica
Fresnillo,2026-04,23,1929980.95,50.9,Yessica
Fresnillo,2026-05,18,1434535.36,88.0,Yessica
Fresnillo,2026-06,23,1888779.79,100.0,Yessica
Fresnillo,2026-07,5,567813.43,100.0,Yessica
Irapuato,2026-02,17,1685477.33,98.1,Yessica
Irapuato,2026-03,30,2710213.55,87.0,Yessica
Irapuato,2026-04,27,2642932.21,92.1,Yessica
Irapuato,2026-05,23,1716713.95,97.7,Yessica
Irapuato,2026-06,27,2434757.23,95.9,Yessica
Irapuato,2026-07,20,1984078.14,100.0,Yessica
Morelia,2026-02,18,1743524.16,93.2,Yessica
Morelia,2026-03,22,1900446.32,73.9,Yessica
Morelia,2026-04,25,2253249.2,80.1,Yessica
Morelia,2026-05,21,1827412.87,95.5,Yessica
Morelia,2026-06,9,743132.54,93.9,Yessica
Morelia,2026-07,11,1022495.74,100.0,Yessica
Salamanca,2026-02,40,5219277.66,90.8,Yessica
Salamanca,2026-03,39,5784739.5,91.9,Yessica
Salamanca,2026-04,43,5424572.62,94.5,Yessica
Salamanca,2026-05,46,6113984.23,88.9,Yessica
Salamanca,2026-06,40,5858181.69,91.7,Yessica
Salamanca,2026-07,16,2027183.83,100.0,Yessica
TOTAL,2026-02,101,10705208.36,90.9,Yessica
TOTAL,2026-03,109,12501361.09,87.7,Yessica
TOTAL,2026-04,118,12250734.98,84.5,Yessica
TOTAL,2026-05,108,11092646.41,91.2,Yessica
TOTAL,2026-06,99,10924851.25,94.2,Yessica
TOTAL,2026-07,52,5601571.14,100.0,Yessica
Pachuca,2026-02,8,686602.35,97.7,Marisol
Pachuca,2026-03,12,913077.96,88.1,Marisol
Pachuca,2026-04,13,1027653.49,83.2,Marisol
Pachuca,2026-05,8,672371.19,91.8,Marisol
Pachuca,2026-06,13,1302280.05,87.2,Marisol
Pachuca,2026-07,7,363069.75,100.0,Marisol
Valle de Toluca,2026-02,29,2361501.89,92.6,Marisol
Valle de Toluca,2026-03,30,2690220.36,87.6,Marisol
Valle de Toluca,2026-04,25,1670091.49,89.1,Marisol
Valle de Toluca,2026-05,25,1509139.18,90.8,Marisol
Valle de Toluca,2026-06,33,2236972.75,100.0,Marisol
Valle de Toluca,2026-07,8,548382.18,100.0,Marisol
Zinacantepec,2026-02,24,1966248.45,88.6,Marisol
Zinacantepec,2026-03,28,2531079.35,88.8,Marisol
